MNG,Mongolia,2019,872,69,27,36,37,74,24,2,85,15,<1,73,25,2,-,-,-,73,24,3,73,25,1,63,21,16,70,30,<1,58,18,24,-,-,-,70,16,14,63,21,15,41,36,23,53,34,13,35,41,24,-,-,-,44,36,20,66,10,24
MSR,Montserrat,2019,1,9,15,47,38,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
MAR,Morocco,2019,8753,63,15,44,41,84,3,13,-,-,-,-,-,-,-,-,-,74,10,16,91,<1,9,70,25,5,82,-,-,56,-,-,-,-,-,70,21,9,-,-,<1,89,-,-,-,-,-,-,-,-,-,-,-,81,-,-,98,-,-
MOZ,Mozambique,2019,12517,37,23,48,29,-,-,-,-,-,-,48,<1,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,41,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,<1,94,-,-,-,-,-,-,-,-,-
MMR,Myanmar,2019,12550,31,15,37,48,75,-,-,-,-,-,-,-,-,-,-,-,72,-,-,82,-,-,68,-,-,-,-,-,-,-,-,-,-,-,65,-,-,71,-,-,59,-,-,-,-,-,-,-,-,-,-,-,54,-,-,62,-,-
NRU,Nauru,2019,3.6,100,22,43,35,-,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,-,-,-,86,-,-,87,-,-,NA,NA,NA,-,-,-,>99,<1,<1,66,-,-,-,-,-,-,-,-,NA,NA,NA,-,-,-,-,-,-,-,-,-
NPL,Nepal,2019,7996,20,11,35,54,47,31,23,-,-,-,-,-,-,-,-,-,39,-,-,76,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NLD,Netherlands,2019,2890,92,20,38,42,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
NIC,Nicaragua,2019,1751,59,20,45,35,54,18,28,-,-,-,54,22,25,-,-,-,-,-,32,-,-,-,12,59,29,-,-,-,12,57,30,-,-,-,-,-,-,-,-,-,40,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-
NER,Niger,2019,9895,17,24,41,36,16,3,81,-,-,60,20,18,61,-,-,74,16,2,82,-,-,45,25,10,65,28,23,48,23,6,71,-,-,78,23,<1,77,-,-,44,15,-,-,-,-,-,4,3,92,-,-,-,15,-,-,-,-,-
NGA,Nigeria,2019,65745,51,9,50,41,36,27,37,41,33,26,33,19,48,-,-,-,32,27,41,53,18,28,38,23,40,49,27,23,28,21,51,-,-,-,35,26,40,46,17,37,28,11,62,43,11,46,16,10,74,-,-,-,28,10,62,24,13,63
NIU,Niue,2019,0,46,7,44,49,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
NOR,Norway,2019,1017,83,18,44,38,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
OMN,Oman,2019,820,85,16,34,50,>99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,4,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
PAK,Pakistan,2019,66594,37,15,37,47,57,8,34,-,-,16,-,-,34,-,-,-,52,11,37,81,4,15,-,-,24,-,-,17,-,-,29,-,-,-,-,-,35,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAN,Panama,2019,1071,68,17,42,40,-,-,20,-,-,<1,-,-,30,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PNG,Papua New Guinea,2019,3444,13,26,41,32,47,6,47,-,-,-,-,-,-,34,8,58,46,6,48,65,23,12,46,12,42,-,-,-,-,-,-,45,13,42,46,12,42,69,10,21,12,43,46,6,44,50,8,42,50,12,41,46,11,43,46,16,44,40
PRY,Paraguay,2019,2021,62,20,41,39,67,30,3,-,-,<1,-,-,9,-,-,-,67,30,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-
PER,Peru,2019,7556,78,22,43,34,80,4,16,89,4,7,68,5,27,81,8,11,79,5,15,76,9,15,61,37,2,80,19,1,39,58,4,54,43,3,62,37,1,67,29,3,-,-,32,-,-,20,-,-,46,-,-,32,-,-,32,-,-,27
PHL,Philippines,2019,25462,47,9,52,39,47,20,34,-,-,-,-,-,-,-,-,-,45,20,35,54,18,28,39,53,8,-,-,-,-,-,-,-,-,-,33,59,8,68,25,7,54,11,36,-,-,-,-,-,-,-,-,-,56,9,35,39,23,38
POL,Poland,2019,5965,60,25,40,35,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
PRT,Portugal,2019,1456,66,18,39,43,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
QAT,Qatar,2019,330,99,25,47,28,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
KOR,Republic of Korea,2019,7188,81,21,38,41,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
MDA,Republic of Moldova,2019,480,43,30,26,45,92,8,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,81,19,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
ROU,Romania,2019,3330,54,19,32,49,72,-,-,-,-,-,-,-,-,67,-,-,64,-,-,85,-,-,72,-,-,-,-,-,-,-,-,64,-,-,64,-,-,87,-,-,72,-,-,-,-,-,-,-,-,64,-,-,64,-,-,87,-,-
RUS,Russian Federation,2019,24193,75,30,28,42,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RWA,Rwanda,2019,4614,17,23,41,36,55,-,-,-,-,-,-,-,-,-,-,-,53,-,-,65,-,-,65,20,16,-,-,-,-,-,-,-,-,28,61,23,16,73,10,17,52,17,32,-,-,-,-,-,-,-,-,74,50,15,35,49,25,26
KNA,Saint Kitts and Nevis,2019,10,31,13,50,37,84,-,-,-,-,-,-,-,-,-,-,-,79,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,-,-,-,-,-,-,-,-,-,-,-,79,-,-,>99,<1,<1
LCA,Saint Lucia,2019,32,19,12,48,40,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
VCT,Saint Vincent and the Grenadines,2019,24,53,13,49,38,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,99,1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,99,1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,99,1,<1
WSM,Samoa,2019,70,18,16,42,42,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SMR,San Marino,2019,5,97,19,32,49,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
STP,Sao Tome and Principe,2019,85,74,21,42,36,-,-,15,-,-,-,-,-,-,-,-,39,-,-,10,-,-,5,76,8,16,-,-,-,-,-,-,-,-,15,70,15,15,-,-,11,-,-,10,-,-,-,-,-,-,-,-,-,-,-,12,-,-,<1
SAU,Saudi Arabia,2019,7963,84,22,42,35,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SEN,Senegal,2019,6625,48,23,40,38,45,32,23,-,-,6,-,-,34,-,-,63,42,32,26,79,16,5,16,64,19,-,-,2,-,-,23,-,-,42,9,72,18,40,50,10,22,7,72,-,-,59,-,-,74,-,-,-,25,4,72,9,-,-
SRB,Serbia,2019,1039,56,25,25,50,72,-,-,-,-,-,-,-,-,-,-,-,63,-,-,91,-,-,74,-,-,-,-,-,-,-,-,-,-,-,66,-,-,92,-,-,73,-,-,-,-,-,-,-,-,-,-,-,66,-,-,91,-,-
SYC,Seychelles,2019,22,57,14,43,43,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SLE,Sierra Leone,2019,3160,42,22,39,39,63,26,11,-,-,-,-,-,-,73,24,2,55,37,8,71,26,2,20,40,39,-,-,-,-,-,-,10,70,20,46,8,46,25,45,30,-,-,64,-,-,-,-,-,-,-,-,-,-,-,25,-,-,26
SGP,Singapore,2019,506,100,22,46,32,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
SVK,Slovakia,2019,884,54,19,26,55,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SVN,Slovenia,2019,318,55,19,40,41,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SLB,Solomon Islands,2019,260,24,22,40,39,17,36,47,-,-,-,14,39,47,-,-,-,20,-,-,19,-,-,27,9,64,-,-,-,25,11,64,-,-,-,22,-,-,34,-,-,17,17,66,-,-,-,17,17,66,-,-,-,-,-,-,-,-,-
SOM,Somalia,2019,6404,46,24,42,35,-,-,45,-,-,-,-,-,-,-,-,-,-,-,46,-,-,37,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZAF,South Africa,2019,15589,67,18,50,32,77,23,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SSD,South Sudan,2019,4378,20,24,41,35,51,9,40,61,4,35,48,11,41,-,-,-,51,9,40,-,-,8,37,38,26,67,22,11,40,23,37,-,-,32,37,38,26,-,-,11,18,1,80,45,-,-,13,-,-,-,-,-,18,1,80,-,-,-
ESP,Spain,2019,7236,81,21,41,38,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
LKA,Sri Lanka,2019,4795,19,7,36,57,83,<1,17,-,-,-,-,-,-,62,24,14,84,-,-,88,-,-,96,4,<1,-,-,-,-,-,-,89,9,2,93,-,-,94,6,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SDN,Sudan,2019,13890,35,17,47,36,-,-,10,-,-,-,-,-,-,-,-,-,-,-,14,-,-,5,-,-,38,-,-,-,-,-,-,-,-,-,-,-,28,-,-,10,-,-,75,-,-,-,-,-,-,-,-,-,-,-,87,-,-,36
CHE,Switzerland,2019,1242,74,13,40,48,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SYR,Syrian Arab Republic,2019,5512,55,25,39,35,49,49,2,-,-,-,-,-,-,-,-,-,49,48,2,49,49,2,49,16,35,-,-,-,-,-,-,-,-,-,51,16,33,47,13,40,21,27,52,-,-,-,-,-,-,-,-,-,22,27,51,23,28,49
TJK,Tajikistan,2019,2888,27,30,29,41,79,8,14,93,4,3,73,9,18,-,-,-,-,-,-,-,-,-,47,35,18,58,36,6,43,35,22,-,-,-,-,-,-,-,-,-,26,13,61,41,15,44,20,12,68,-,-,-,-,-,-,-,-,-
TLS,Timor-Leste,2019,470,31,21,39,40,69,5,27,-,-,-,-,-,-,-,-,-,69,3,28,62,14,24,38,28,34,-,-,-,-,-,-,-,-,-,37,29,34,43,35,22,60,-,-,-,-,-,-,-,-,-,-,-,61,-,-,52,-,-
TGO,Togo,2019,3238,42,22,39,39,20,23,57,-,-,-,-,-,-,-,-,-,20,15,65,-,-,49,65,-,-,-,-,-,-,-,-,-,-,-,62,-,-,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUN,Tunisia,2019,2738,69,20,39,41,70,15,15,-,-,-,-,-,-,-,-,-,70,17,13,-,-,<1,63,23,15,-,-,-,-,-,-,-,-,-,63,23,15,-,-,<1,38,50,12,-,-,-,-,-,-,-,-,-,38,50,12,-,-,-
TCA,Turks and Caicos Islands,2019,9,93,19,39,42,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
UGA,Uganda,2019,19971,24,22,46,32,68,26,5,90,10,<1,54,34,12,-,-,-,70,23,7,-,-,-,80,16,4,80,20,<1,57,37,5,-,-,-,80,16,4,-,-,<1,30,24,46,52,19,29,12,5,83,-,-,-,31,16,53,56,-,-
UKR,Ukraine,2019,4955,69,22,31,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,-,-,-,-,-,-,-,-,-,-,-,74,-,-,93,-,-
ARE,United Arab Emirates,2019,1238,87,17,39,44,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
TZA,United Republic of Tanzania,2019,22135,35,16,50,34,-,-,29,-,-,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<1,21,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-
USA,United States of America,2019,62202,82,20,39,41,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
URY,Uruguay,2019,705,95,19,40,41,>99,<1,<1,-,-,<1,-,-,19,-,-,-,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UZB,Uzbekistan,2019,9010,50,26,27,46,90,-,-,-,-,-,-,-,-,-,-,-,90,-,-,89,-,-,92,-,-,-,-,-,-,-,-,-,-,-,93,-,-,91,-,-,89,-,-,-,-,-,-,-,-,-,-,-,90,-,-,89,-,-
VUT,Vanuatu,2019,106,25,15,43,41,-,-,59,-,-,-,-,-,-,-,-,65,-,-,51,-,-,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VEN,Venezuela (Bolivarian Republic of),2019,7677,88,23,43,34,97,-,-,-,-,-,-,-,-,-,-,-,97,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSE,West Bank and Gaza Strip,2019,1644,76,16,29,55,78,22,<1,78,19,3,81,18,2,-,-,2,81,19,<1,86,14,<1,81,18,<1,79,21,<1,84,16,<1,-,-,<1,78,22,<1,86,13,1,21,76,3,11,80,9,24,72,4,-,-,-,22,73,5,29,66,5
YEM,Yemen,2019,10660,37,22,41,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZMB,Zambia,2019,7882,44,29,44,27,79,4,17,-,-,-,79,5,16,-,-,-,78,3,18,94,<1,5,66,-,-,-,-,-,23,66,11,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,19,29,52,-,-,-,55,-,-,58,-,-
ZWE,Zimbabwe,2019,5764,32,15,50,35,66,21,13,86,13,1,60,30,9,-,-,-,64,22,14,69,19,12,-,-,3,-,-,6,-,-,4,-,-,13,-,-,2,-,-,3,-,-,37,-,-,12,-,-,42,-,-,35,-,-,37,-,-,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
